ent_fed,sexo,edad,estudiaron_licenciatura
Chihuahua,Mujeres,22,10205
Chihuahua,Mujeres,23,10258
Chihuahua,Mujeres,24,9908
Ciudad de México,Hombres,3,0
Ciudad de México,Hombres,4,0
Ciudad de México,Hombres,5,0
Ciudad de México,Hombres,6,0
Ciudad de México,Hombres,7,0
Ciudad de México,Hombres,8,0
Ciudad de México,Hombres,9,0
Ciudad de México,Hombres,10,0
Ciudad de México,Hombres,11,0
Ciudad de México,Hombres,12,0
Ciudad de México,Hombres,13,0
Ciudad de México,Hombres,14,0
Ciudad de México,Hombres,15,0
Ciudad de México,Hombres,16,0
Ciudad de México,Hombres,17,0
Ciudad de México,Hombres,18,4807
Ciudad de México,Hombres,19,11271
Ciudad de México,Hombres,20,21473
Ciudad de México,Hombres,21,22814
Ciudad de México,Hombres,22,27465
Ciudad de México,Hombres,23,27909
Ciudad de México,Hombres,24,29313
Ciudad de México,Mujeres,3,0
Ciudad de México,Mujeres,4,0
Ciudad de México,Mujeres,5,0
Ciudad de México,Mujeres,6,0
Ciudad de México,Mujeres,7,0
Ciudad de México,Mujeres,8,0
Ciudad de México,Mujeres,9,0
Ciudad de México,Mujeres,10,0
Ciudad de México,Mujeres,11,0
Ciudad de México,Mujeres,12,0
Ciudad de México,Mujeres,13,0
Ciudad de México,Mujeres,14,0
Ciudad de México,Mujeres,15,0
Ciudad de México,Mujeres,16,0
Ciudad de México,Mujeres,17,0
Ciudad de México,Mujeres,18,5887
Ciudad de México,Mujeres,19,13401
Ciudad de México,Mujeres,20,25052
Ciudad de México,Mujeres,21,25510
Ciudad de México,Mujeres,22,30791
Ciudad de México,Mujeres,23,30669
Ciudad de México,Mujeres,24,31843
Durango,Hombres,3,0
Durango,Hombres,4,0
Durango,Hombres,5,0
Durango,Hombres,6,0
Durango,Hombres,7,0
Durango,Hombres,8,0
Durango,Hombres,9,0
Durango,Hombres,10,0
Durango,Hombres,11,0
Durango,Hombres,12,0
Durango,Hombres,13,0
Durango,Hombres,14,0
Durango,Hombres,15,0
Durango,Hombres,16,0
Durango,Hombres,17,0
Durango,Hombres,18,793
Durango,Hombres,19,2281
Durango,Hombres,20,3916
Durango,Hombres,21,4129
Durango,Hombres,22,4528
Durango,Hombres,23,4188
Durango,Hombres,24,4151
Durango,Mujeres,3,0
Durango,Mujeres,4,0
Durango,Mujeres,5,0
Durango,Mujeres,6,0
Durango,Mujeres,7,0
Durango,Mujeres,8,0
Durango,Mujeres,9,0
Durango,Mujeres,10,0
Durango,Mujeres,11,0
Durango,Mujeres,12,0
Durango,Mujeres,13,0
Durango,Mujeres,14,0
Durango,Mujeres,15,0
Durango,Mujeres,16,0
Durango,Mujeres,17,0
Durango,Mujeres,18,881
Durango,Mujeres,19,2749
Durango,Mujeres,20,4516
Durango,Mujeres,21,4582
Durango,Mujeres,22,4988
Durango,Mujeres,23,4545
Durango,Mujeres,24,4395
Guanajuato,Hombres,3,0
Guanajuato,Hombres,4,0
Guanajuato,Hombres,5,0
Guanajuato,Hombres,6,0
Guanajuato,Hombres,7,0
Guanajuato,Hombres,8,0
Guanajuato,Hombres,9,0
Guanajuato,Hombres,10,0
Guanajuato,Hombres,11,0
Guanajuato,Hombres,12,0
Guanajuato,Hombres,13,0
Guanajuato,Hombres,14,0
Guanajuato,Hombres,15,0
Guanajuato,Hombres,16,0
Guanajuato,Hombres,17,0
Guanajuato,Hombres,18,2016
Guanajuato,Hombres,19,5489
Guanajuato,Hombres,20,10044
Guanajuato,Hombres,21,10364
Guanajuato,Hombres,22,11777
Guanajuato,Hombres,23,11376
Guanajuato,Hombres,24,11132
Guanajuato,Mujeres,3,0
Guanajuato,Mujeres,4,0
Guanajuato,Mujeres,5,0
Guanajuato,Mujeres,6,0
Guanajuato,Mujeres,7,0
Guanajuato,Mujeres,8,0
Guanajuato,Mujeres,9,0
Guanajuato,Mujeres,10,0
Guanajuato,Mujeres,11,0
Guanajuato,Mujeres,12,0
Guanajuato,Mujeres,13,0
Guanajuato,Mujeres,14,0
Guanajuato,Mujeres,15,0
Guanajuato,Mujeres,16,0
Guanajuato,Mujeres,17,0
Guanajuato,Mujeres,18,2425
Guanajuato,Mujeres,19,7035
Guanajuato,Mujeres,20,12412
Guanajuato,Mujeres,21,12045
Guanajuato,Mujeres,22,13418
Guanajuato,Mujeres,23,12769
Guanajuato,Mujeres,24,12548
Guerrero,Hombres,3,0
Guerrero,Hombres,4,0
Guerrero,Hombres,5,0
Guerrero,Hombres,6,0
Guerrero,Hombres,7,0
Guerrero,Hombres,8,0
Guerrero,Hombres,9,0
Guerrero,Hombres,10,0
Guerrero,Hombres,11,0
Guerrero,Hombres,12,0
Guerrero,Hombres,13,0
Guerrero,Hombres,14,0
Guerrero,Hombres,15,0
Guerrero,Hombres,16,0
Guerrero,Hombres,17,0
Guerrero,Hombres,18,981
Guerrero,Hombres,19,2878
Guerrero,Hombres,20,5227
Guerrero,Hombres,21,5274
Guerrero,Hombres,22,5870
Guerrero,Hombres,23,5726
Guerrero,Hombres,24,5382
Guerrero,Mujeres,3,0
Guerrero,Mujeres,4,0
Guerrero,Mujeres,5,0
Guerrero,Mujeres,6,0
Guerrero,Mujeres,7,0
Guerrero,Mujeres,8,0
Guerrero,Mujeres,9,0
Guerrero,Mujeres,10,0
Guerrero,Mujeres,11,0
Guerrero,Mujeres,12,0
Guerrero,Mujeres,13,0
Guerrero,Mujeres,14,0
Guerrero,Mujeres,15,0
Guerrero,Mujeres,16,0
Guerrero,Mujeres,17,0
Guerrero,Mujeres,18,1249
Guerrero,Mujeres,19,3756
Guerrero,Mujeres,20,6736
Guerrero,Mujeres,21,6494
Guerrero,Mujeres,22,7329
Guerrero,Mujeres,23,7028
Guerrero,Mujeres,24,6539
Hidalgo,Hombres,3,0
Hidalgo,Hombres,4,0
Hidalgo,Hombres,5,0
Hidalgo,Hombres,6,0
Hidalgo,Hombres,7,0
Hidalgo,Hombres,8,0
Hidalgo,Hombres,9,0
Hidalgo,Hombres,10,0
Hidalgo,Hombres,11,0
Hidalgo,Hombres,12,0
Hidalgo,Hombres,13,0
Hidalgo,Hombres,14,0
Hidalgo,Hombres,15,0
Hidalgo,Hombres,16,0
Hidalgo,Hombres,17,0
Hidalgo,Hombres,18,1448
Hidalgo,Hombres,19,4126
Hidalgo,Hombres,20,6825
Hidalgo,Hombres,21,6687
Hidalgo,Hombres,22,7421
Hidalgo,Hombres,23,6877
Hidalgo,Hombres,24,6815
Hidalgo,Mujeres,3,0
Hidalgo,Mujeres,4,0
Hidalgo,Mujeres,5,0
Hidalgo,Mujeres,6,0
Hidalgo,Mujeres,7,0
Hidalgo,Mujeres,8,0
Hidalgo,Mujeres,9,0
Hidalgo,Mujeres,10,0
Hidalgo,Mujeres,11,0
Hidalgo,Mujeres,12,0
Hidalgo,Mujeres,13,0
